Brand;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Alfa Romeo;0;0.25;0.35;0.45;0.53;0.60;0.66;0.71;0.75;0.79;0.83;0.85;0.87;0.89;0.91;0.93;0.94;0.945;0.95;0.95;0.95
Audi;0;0.20;0.30;0.40;0.48;0.55;0.60;0.65;0.70;0.75;0.80;0.82;0.84;0.86;0.88;0.90;0.92;0.94;0.945;0.95;0.95
BYD;0;0.20;0.30;0.40;0.48;0.55;0.61;0.66;0.71;0.75;0.79;0.81;0.83;0.85;0.87;0.89;0.91;0.93;0.94;0.945;0.95
BMW;0;0.18;0.28;0.38;0.46;0.53;0.58;0.63;0.68;0.73;0.78;0.80;0.82;0.84;0.86;0.88;0.90;0.92;0.94;0.945;0.95
Chevrolet;0;0.25;0.35;0.45;0.53;0.60;0.65;0.70;0.75;0.80;0.84;0.86;0.88;0.90;0.92;0.94;0.945;0.95;0.95;0.95;0.95
Cupra;0;0.25;0.35;0.45;0.54;0.61;0.67;0.71;0.75;0.79;0.83;0.85;0.87;0.89;0.91;0.93;0.94;0.945;0.95;0.95;0.95
Ford;0;0.22;0.32;0.42;0.50;0.57;0.63;0.68;0.73;0.77;0.81;0.83;0.85;0.87;0.89;0.91;0.93;0.94;0.945;0.95;0.95
Hyundai;0;0.20;0.30;0.40;0.48;0.55;0.60;0.65;0.70;0.75;0.80;0.82;0.84;0.86;0.88;0.90;0.92;0.94;0.945;0.95;0.95
Jaguar;0;0.22;0.32;0.42;0.50;0.57;0.63;0.68;0.73;0.77;0.81;0.83;0.85;0.87;0.89;0.91;0.93;0.94;0.945;0.95;0.95
Kia;0;0.20;0.30;0.40;0.48;0.55;0.60;0.65;0.70;0.75;0.80;0.82;0.84;0.86;0.88;0.90;0.92;0.94;0.945;0.95;0.95
Mercedes-Benz;0;0.20;0.30;0.40;0.48;0.55;0.60;0.65;0.70;0.75;0.80;0.82;0.84;0.86;0.88;0.90;0.92;0.94;0.945;0.95;0.95
Nissan;0;0.22;0.32;0.42;0.50;0.57;0.63;0.68;0.73;0.77;0.81;0.83;0.85;0.87;0.89;0.91;0.93;0.94;0.945;0.95;0.95
Porsche;0;0.15;0.25;0.35;0.43;0.50;0.55;0.60;0.65;0.70;0.75;0.77;0.79;0.81;0.83;0.85;0.87;0.89;0.91;0.93;0.95
Renault;0;0.27;0.37;0.47;0.55;0.62;0.68;0.73;0.77;0.81;0.85;0.87;0.89;0.91;0.93;0.94;0.945;0.95;0.95;0.95;0.95
Smart;0;0.30;0.40;0.50;0.58;0.65;0.71;0.76;0.80;0.83;0.87;0.89;0.91;0.93;0.94;0.945;0.95;0.95;0.95;0.95;0.95
Tesla;0;0.15;0.25;0.35;0.42;0.48;0.53;0.57;0.60;0.64;0.68;0.70;0.72;0.74;0.76;0.78;0.80;0.82;0.84;0.86;0.88
Toyota;0;0.22;0.32;0.42;0.50;0.57;0.63;0.68;0.73;0.77;0.81;0.83;0.85;0.87;0.89;0.91;0.93;0.94;0.945;0.95;0.95
Volkswagen;0;0.20;0.30;0.40;0.48;0.55;0.60;0.65;0.70;0.75;0.80;0.82;0.84;0.86;0.88;0.90;0.92;0.94;0.945;0.95;0.95
Volvo;0;0.20;0.30;0.40;0.48;0.55;0.60;0.65;0.70;0.75;0.80;0.82;0.84;0.86;0.88;0.90;0.92;0.94;0.945;0.95;0.95
